id,Title,date Posted,deadline,id
1, Language Engineer/Computational Linguist , 2016-08-31 , 2016-12-31 ,1
2, Language Engineer , 2016-08-10, 2017-01-04,2
3, Sen. Software Engineer , 2016-07-14, 2016-12-01,3
4, Machine Translation System Engineer , 2016-07-01 , 2016-12-31 ,4
5, Machine Learning Engineer , 2016-07-22, 2016-12-01,5
6, Software Engineer/Core Algorithms , 2016-07-07, 2016-12-31 ,6
7, Assoc Professor; Computational Linguistics , 2016-08-31 , 2016-12-01,7
8, Temporary Specialist , 2016-07-08, 2016-12-31 ,8
9, Computational Linguist , 2016-07-14, 2017-01-15,9
10, Computational Linguist/NLP Engineer , 2016-07-22, 2017-01-04,10
11, Manager , 2016-07-14, 2016-12-01,11
12, Post Doc , 2016-07-08, 2016-12-31 ,12
13, Assoc Professor , 2016-08-10, 2016-12-31 ,13
14, Assoc Professor , 2016-07-07, 2016-12-01,14
15, Computational Linguistic/Machine Translation researcher , 2016-08-31 , 2017-01-04,15
16, Assoc/Full Professor , 2016-07-22, 2016-12-01,16